AREA,PERIMETER,Ing_Eg,Rd_Maint,Rd_Width,Rd_Cond,Fire_Acc,St_Sign,Strc_Den,Hm_Set,Un_Lands,Priv_Act,Prox_Wild,SUBD_TOT,Prox_Flam,Veg_Type,Fuel_Load,Fuel_Strc,Def_Space,VEG_TOT,Roof_Asmb,Sid_Sof,Undr_Skrt,Utlty_Plmt,Strc_Ign,BLDG_TOT,Slope,Avg_Rain,Prev_Wind,Seas_Haz,Ign_Risk,Top_Adv,FIREHAZTOT,Wat_Avail,Ofst_Wat,Rspn_Time,Prox_Stn,FD_Trng,Wild_Cap,Loc_Ops,Com_Plan,Com_FirPrg,FIREPROTOT,OVRLHAZTOT,Acres,AreaName,Island,IntAgCoop,CAR_Rating,zone,CAR_Hawaii,CAR_adjtot
1315.631,13.895,3,3,3,3,3,3,1,2,3,2,3,27,3,2,3,3,2,13,2,2,2,2,2,10,2,3,3,2,2,3,15,3,0,2,2,2,2,2,1,2,16,0,1315.63146444000,Honokohau,Maui,1,Moderate,,22.00000000000,
213.588,3.038,3,2,3,2,3,1,3,3,1,2,2,25,2,2,2,2,2,10,1,2,1,3,1,8,3,6,3,3,3,3,21,1,0,1,1,2,2,2,1,2,12,0,213.58757744300,Lahaina N Mauka,Maui,1,Extreme,,40.00000000000,77
62.256,1.676,2,2,2,2,2,2,3,2,1,1,2,21,3,2,2,1,1,9,1,1,1,1,1,5,3,6,3,3,3,3,21,1,0,1,1,2,2,2,1,2,12,0,62.25649782540,Lahaina N Mauka Shops,Maui,1,Extreme,,40.00000000000,77
253.858,3.687,3,2,3,3,3,1,2,3,1,3,2,26,2,2,2,1,2,9,2,2,1,3,2,10,3,6,3,3,3,3,21,1,0,1,1,2,2,2,1,2,12,0,253.85765755900,Lahaina C Mauka,Maui,1,Extreme,,40.00000000000,77
355.743,6.427,1,2,2,1,2,1,2,1,1,2,1,14,1,1,1,1,1,5,1,2,1,2,1,7,1,6,3,3,3,1,17,1,0,1,1,2,2,2,1,2,12,0,355.74326208700,Lahaina Downtown,Maui,1,Extreme,,40.00000000000,71
16.044,1.146,3,2,2,2,2,1,3,3,2,2,3,25,3,2,3,2,3,13,2,1,1,1,1,6,1,6,3,3,3,1,17,1,0,1,1,2,2,2,1,2,12,0,16.04369852690,Lahaina Elementary,Maui,1,Extreme,,40.00000000000,71
142.695,1.917,3,2,3,2,3,1,1,1,2,1,3,22,3,2,3,2,3,13,1,1,1,3,1,7,3,6,3,3,3,3,21,1,0,1,1,2,2,2,1,2,12,0,142.69513331500,Lahaina Water Plant,Maui,1,High,,40.00000000000,77
25.194,1.062,1,2,2,1,2,1,2,1,1,2,1,16,1,1,1,1,1,6,1,2,1,2,1,6,1,6,3,3,3,1,17,1,0,1,1,2,2,2,1,2,12,0,25.19386062580,Lahaina Front St. Residences,Maui,1,Extreme,,40.00000000000,71
158.627,2.297,3,2,2,2,2,1,2,2,1,1,3,21,3,2,2,2,2,11,1,1,1,1,1,5,2,5,3,3,3,3,19,1,0,1,1,2,2,2,1,2,12,0,158.62685215800,Kaanapali S,Maui,1,Extreme,,36.00000000000,63
377.064,4.482,3,2,2,1,1,1,1,1,1,1,1,15,1,1,1,1,1,5,1,1,1,1,1,5,2,5,3,3,3,3,19,1,0,1,1,2,2,2,1,2,12,0,377.06443010900,Kaanapali Resort Area,Maui,1,Extreme,,36.00000000000,63
78.528,2.951,2,2,2,2,2,1,2,3,2,2,2,22,2,2,2,1,2,9,1,2,2,1,2,8,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,78.52802729320,Napili Makai,Maui,1,Moderate,,24.00000000000,60
45.487,1.288,3,1,2,1,1,1,1,1,3,2,3,19,3,2,3,3,1,12,1,1,1,3,1,7,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,45.48699400140,Maui Prep- Napili Mauka,Maui,1,Moderate,,24.00000000000,
94.939,1.830,3,1,2,1,2,1,1,2,1,1,3,18,3,2,3,2,2,12,1,1,1,1,1,5,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,94.93927815120,Kahana Mauka,Maui,1,Moderate,,30.00000000000,62
41.202,1.078,3,1,1,1,1,1,1,1,1,1,2,14,3,2,3,2,1,11,1,1,1,1,1,5,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,41.20183022140,Kapalani Estates,Maui,1,High,,30.00000000000,
84.722,1.713,3,2,2,1,2,1,3,2,2,2,2,22,3,2,2,2,3,12,1,1,2,1,1,6,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,84.72167906900,Mahinahina,Maui,1,High,,36.00000000000,
51.423,1.978,3,1,1,1,1,1,1,1,3,1,3,17,3,2,3,2,2,12,1,1,1,1,1,5,2,3,3,2,3,3,16,1,0,1,1,2,1,1,1,2,10,0,51.42309579960,Kapalua Airport,Maui,1,High,,30.00000000000,47
190.048,3.351,2,2,2,1,2,1,2,2,1,2,2,19,2,1,2,1,2,8,1,2,2,3,2,10,2,2,3,2,2,3,14,1,0,1,1,2,2,2,1,2,12,0,190.04828949800,Waiehu Makai,Maui,1,Moderate,,30.00000000000,61
182695.735,92.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182346.47058299999,Kauai Interior,Kauai,0,Unranked,,0.00000000000,
271.602,3.850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.60178800900,Lehua,Lehua,1,Unranked,,0.00000000000,
46044.508,51.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46044.50818610000,Niihau,Niihau,0,Unranked,,0.00000000000,
352541.973,252.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212095.14116400000,Oahu Interior,Oahu,0,Unranked,non,0.00000000000,
455.893,4.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.89317155300,Ford Island,Oahu,0,Unranked,non,0.00000000000,
512.154,4.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.15358203300,Sand Island,Oahu,0,Unranked,Zone 4: Honolulu,0.00000000000,
87340.991,121.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87340.99129510000,Molokai Zone 1,Molokai,0,Unranked,,0.00000000000,
19.726,1.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.72629823770,Molokini Atoll,Molokini Atoll,0,Unranked,,0.00000000000,
28548.177,43.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28548.17665850000,Kahoolawe,Kahoolawe,1,Unranked,,0.00000000000,
545457.986,194.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545459.65548199997,Hawaii Island Zone 3,Hawaii Island,0,Unranked,,0.00000000000,
63348.567,75.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63348.56665240000,Kauai Zone 1,Kauai,0,Unranked,,0.00000000000,
16084.131,48.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16084.13085190000,Kauai Zone 2,Kauai,0,Unranked,,0.00000000000,
39656.516,98.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40008.04211760000,Kauai Zone 3,Kauai,0,Unranked,,0.00000000000,
